variant,trial,sweep,energy
ideal,1,162,-2.0
ideal,1,163,-2.0
ideal,1,164,-2.0
ideal,1,165,-2.0
ideal,1,166,-2.0
ideal,1,167,-2.0
ideal,1,168,-2.0
ideal,1,169,-2.0
ideal,1,170,-2.0
ideal,1,171,-2.0
ideal,1,172,-2.0
ideal,1,173,-2.0
ideal,1,174,-2.0
ideal,1,175,-2.0
ideal,1,176,-2.0
ideal,1,177,-2.0
ideal,1,178,-2.0
ideal,1,179,-2.0
ideal,1,180,-2.0
ideal,1,181,-2.0
ideal,1,182,-2.0
ideal,1,183,-2.0
ideal,1,184,-2.0
ideal,1,185,-2.0
ideal,1,186,-2.0
ideal,1,187,-2.0
ideal,1,188,-2.0
ideal,1,189,-2.0
ideal,1,190,-2.0
ideal,1,191,-2.0
ideal,1,192,-2.0
ideal,1,193,-2.0
ideal,1,194,-2.0
ideal,1,195,-2.0
ideal,1,196,-2.0
ideal,1,197,-2.0
ideal,1,198,-2.0
ideal,1,199,-2.0
ideal,1,200,-2.0
ideal,2,0,-2.0
ideal,2,1,-1.0
ideal,2,2,1.0
ideal,2,3,0.0
ideal,2,4,-2.0
ideal,2,5,0.0
ideal,2,6,-1.0
ideal,2,7,-1.0
ideal,2,8,1.0
ideal,2,9,0.0
ideal,2,10,1.0
ideal,2,11,0.0
ideal,2,12,0.0
ideal,2,13,-2.0
ideal,2,14,0.0
ideal,2,15,-2.0
ideal,2,16,-1.0
ideal,2,17,-2.0
ideal,2,18,0.0
ideal,2,19,1.0
ideal,2,20,-2.0
ideal,2,21,-1.0
ideal,2,22,1.0
ideal,2,23,0.0
ideal,2,24,0.0
ideal,2,25,1.0
ideal,2,26,0.0
ideal,2,27,-1.0
ideal,2,28,-2.0
ideal,2,29,0.0
ideal,2,30,-2.0
ideal,2,31,-1.0
ideal,2,32,-2.0
ideal,2,33,1.0
ideal,2,34,0.0
ideal,2,35,-1.0
ideal,2,36,-2.0
ideal,2,37,1.0
ideal,2,38,-2.0
ideal,2,39,-2.0
ideal,2,40,1.0
ideal,2,41,0.0
ideal,2,42,1.0
ideal,2,43,-2.0
ideal,2,44,-2.0
ideal,2,45,1.0
ideal,2,46,0.0
ideal,2,47,-2.0
ideal,2,48,0.0
ideal,2,49,-1.0
ideal,2,50,-2.0
ideal,2,51,-2.0
ideal,2,52,-2.0
ideal,2,53,0.0
ideal,2,54,1.0
ideal,2,55,0.0
ideal,2,56,-1.0
ideal,2,57,0.0
ideal,2,58,0.0
ideal,2,59,-2.0
ideal,2,60,-2.0
ideal,2,61,0.0
ideal,2,62,0.0
ideal,2,63,-2.0
ideal,2,64,0.0
ideal,2,65,-1.0
ideal,2,66,-1.0
ideal,2,67,-2.0
ideal,2,68,0.0
ideal,2,69,0.0
ideal,2,70,0.0
ideal,2,71,0.0
ideal,2,72,-1.0
ideal,2,73,0.0
ideal,2,74,0.0
ideal,2,75,-1.0
ideal,2,76,0.0
ideal,2,77,-2.0
ideal,2,78,-1.0
ideal,2,79,-1.0
ideal,2,80,0.0
ideal,2,81,-2.0
ideal,2,82,-1.0
ideal,2,83,0.0
ideal,2,84,-1.0
ideal,2,85,-2.0
ideal,2,86,-2.0
ideal,2,87,-1.0
ideal,2,88,-2.0
ideal,2,89,-2.0
ideal,2,90,-2.0
ideal,2,91,-2.0
ideal,2,92,-2.0
ideal,2,93,-2.0
ideal,2,94,-2.0
ideal,2,95,-2.0
ideal,2,96,0.0
ideal,2,97,-1.0
ideal,2,98,-2.0
ideal,2,99,-2.0
ideal,2,100,-1.0
ideal,2,101,-1.0
ideal,2,102,-2.0
ideal,2,103,-1.0
ideal,2,104,-2.0
ideal,2,105,-2.0
ideal,2,106,-2.0
ideal,2,107,-1.0
ideal,2,108,-1.0
ideal,2,109,1.0
