block,instance,n_spins,target_kind,target,scenario,n_profile,mapping,profile_label,max_comp_code,dac_mode,dac_bits,dac_span_uT,max_abs_u_offset,mean_abs_u_offset,n_trials,n_sweeps,master_seed,hits,p_success,wilson_lo,wilson_hi,tts99_sweeps,tts99_ratio,ratio_lo,ratio_hi,frac_undefined,energy_min,energy_median,dmedian_vs_baseline,dmed_lo,dmed_hi,residual_median,mean_magnetization,wall_s,predist_bits,predist_span_uT,predist_lsb_mV,predist_lsb_src,predist_code_budget
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,no_offset,,-,-,,none,,,0.0,0.0,1000,2000,2024,125,0.125,0.1059,0.1469,68975.09410296327,1.0,nan,nan,nan,-56.84259775567446,-56.462225576278975,0.0,0.0,0.0,0.006691674807517303,-0.00065625,33.4,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,none,,,1.5151855494766184,0.7796317724682355,1000,2000,2024,69,0.069,0.0549,0.0864,128823.15307602801,1.8676763656708602,1.3928985169644996,2.5376110594863883,0.0,-56.84259775567446,-53.554603031619855,2.9076225446591195,2.3307,3.1309,0.05784385045502909,-0.13321875,34.3,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,none,,,0.064850360478284,0.033427453952495204,1000,2000,2024,131,0.131,0.1115,0.1533,65595.03667008986,0.9509959721428174,0.7412200093014664,1.2179969926386964,0.0,-56.84259775567446,-56.462225576278975,0.0,-0.1111,0.1111,0.006691674807517303,0.0059375,33.9,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,none,,,2.914928390421685,1.5068907350164116,1000,2000,2024,8,0.008,0.0041,0.0157,1146681.2113980576,16.624569002926442,9.204992758246886,45.9686761452633,0.00029999999999996696,-56.84259775567446,-51.33820887551422,5.124016700764756,4.9735,5.216,0.09683563203461706,-0.25028125,36.8,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,none,,,0.064850360478284,0.032148966041572996,1000,2000,2024,133,0.133,0.1134,0.1555,64536.00765920934,0.9356421835811135,0.7301804086318567,1.2040320544640386,0.0,-56.84259775567446,-56.462225576278975,0.0,-0.1028,0.1129,0.006691674807517303,0.01434375,51.0,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,uncompensated,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,none,,,5.4171235574208305,2.8551569242646027,1000,2000,2024,0,0.0,0.0,0.0038,inf,inf,nan,nan,1.0,-52.567869688341105,-49.96689988286134,6.495325693417634,6.3216,6.6154,0.12096030343945242,-0.3783125,44.9,,,,,
crosscheck,ER64_p0.1,64,"LONGRUN_BEST(T=20000,trials=200,seed=20260720)",-56.84259775567446,predistorted,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,none,,,0.06546624559232891,0.03310287945624798,1000,2000,2024,111,0.111,0.093,0.132,78280.58414436379,1.1349108712705729,0.8811264613938051,1.46445554163603,0.0,-56.84259775567446,-56.3678155829558,0.09440999332317546,0.0,0.1731,0.008352576966299284,0.00671875,39.8,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,no_offset,,-,-,,fixed_u,6,10.0,0.0,0.0,200,2000,2024,95,0.475,0.4069,0.544,14293.846637334118,1.0,nan,nan,nan,-72.88284231924007,-72.75793095143962,0.0,0.0,0.0,0.001713865209226008,0.00203125,15.8,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,fixed_u,6,10.0,1.5151855494766184,0.7796317724682355,200,2000,2024,105,0.525,0.456,0.5931,12372.164977496384,0.865558816419753,0.6491695683308608,1.1494083662203736,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.1249,0.0,0.00015625,14.8,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,64,identity,MEASURED-Rs/LSB + committed ANALYTIC per-row model,12,fixed_u,6,10.0,0.064850360478284,0.033427453952495204,200,2000,2024,92,0.46,0.3923,0.5292,14947.334551518123,1.0457181282802601,0.7768294857551066,1.4008741470894506,0.0,-72.88284231924007,-72.75793095143962,0.0,-0.1249,0.1249,0.001713865209226008,0.0009375,14.8,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,fixed_u,6,10.0,2.914928390421685,1.5068907350164116,200,2000,2024,137,0.685,0.6176,0.7454,7973.0598883726,0.5577966582870529,0.4219279477487479,0.7290413797569779,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.0,0.0,0.0025,14.7,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,predistorted,128,even-sample,ANALYTIC EXTENSION of the committed per-row model (N absent from analyze_ir.N_LIST; same Rs and LSB),22,fixed_u,6,10.0,0.064850360478284,0.032148966041572996,200,2000,2024,101,0.505,0.4363,0.5735,13097.799916803091,0.9163243631418941,0.6846921242364934,1.2167736086934113,0.0,-72.88284231924007,-72.88284231924007,-0.12491136780045053,-0.1249,0.1249,0.0,-0.0021875,15.6,,,,,
combined_6b_span10,PP64_p0.1_eta0.1_s0,64,"PLANTED_VERIFIED(longrun T=20000,trials=200,seed=20260722)",-72.88284231924007,uncompensated,256,even-sample,MEASURED-Rs/LSB + committed ANALYTIC per-row model,41,fixed_u,6,10.0,5.4171235574208305,2.8551569242646027,200,2000,2024,59,0.295,0.2361,0.3616,26348.57212294437,1.8433506942857842,1.3253300595448025,2.5747678209804494,0.0,-72.88284231924007,-55.36715591914448,17.39077503229514,7.6994,18.8192,0.24032660970292166,-0.11671875,15.7,,,,,
