block,instance,n,n_sweeps,p_s,deg_mean,coupling,b_accum,e_accum_fJ,e_accum_provenance,synapse_on,synapse_pJ_per_update,k,n_par,share,rail_vt,platform,e_update_pJ,tts_s,energy_J,energy_ratio_vs_cmos,tts_ratio_vs_cmos
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),1,5.5406,3,64,1.0,4.0,sMTJ-array-e2e,20.2155535625,0.01920626717533273,0.0001939248847470831,1.9178834814160646,2.8030000000000004
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),1,5.5406,3,64,1.0,4.0,cmos-pbit,10.540553562499996,0.006852039662979924,0.00010111400751202004,1.0,1.0
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),1,5.5406,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.001370407932595985,0.009592855528171894,94.87167766574312,0.2
caliber,factor_M33,7,20000,0.065,6.0,rand_core,11,923.43,ANALYTIC (measured linear fit in b),1,5.5406,3,64,1.0,4.0,cpu-numba,3959460.399957606,1.3565189852253936,37.98253158631102,375640.65079505235,197.9730199978803
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array,0.783,0.00032781517990174256,2.737912382539354e-06,0.1566,0.15
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,sMTJ-array-e2e,14.675,0.00612577299509723,5.1314002827286105e-05,2.935,2.8030000000000004
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cmos-pbit,5.0,0.002185434532678284,1.748347626142627e-05,1.0,1.0
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,fpga-sbm,1000.0000000000001,0.0004370869065356568,0.0034966952522852545,200.00000000000003,0.2
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),0,0.0,3,64,1.0,4.0,cpu-numba,3959460.399957606,0.494465227933687,13.845026382143235,791892.0799915212,226.25487999757752
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),1,5.8864,3,64,1.0,4.0,sMTJ-array,6.669448312499996,0.00032781517990174256,2.3321028249680636e-05,0.612637668507738,0.15
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),1,5.8864,3,64,1.0,4.0,sMTJ-array-e2e,20.561448312499994,0.00612577299509723,7.189711869442738e-05,1.8887196009456095,2.8030000000000004
caliber,factor_M35,8,20000,0.19,7.0,rand_core,10,840.92,ANALYTIC (measured linear fit in b),1,5.8864,3,64,1.0,4.0,cmos-pbit,10.886448312499995,0.002185434532678284,3.806659212856755e-05,1.0,1.0
