part,instance,n,arm,channel,label,hits,n_trials,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,energy_min,energy_median,n_sweeps,wall_s
a,G1,800,single_cv_gain,cv_gain,MEASURED (Brinkman-PDK 7.7% baseline),141,200,0.705,0.6384,0.7639,37723.2,1.042747879615858,0.8123411030550849,1.3385903611698997,-2036.0,-2036.0,10000,92.3
a,G1,800,single_dac,dac,"MEASURED 6-bit grid, rails +/-10 V_T",122,200,0.61,0.5409,0.6749,48907.5,1.351905406469929,1.0559470895552932,1.7597487486040362,-2036.0,-2036.0,10000,134.1
a,G1,800,single_reset,reset,MEASURED (RX-05 LLG rho_eff k=3),130,200,0.65,0.5816,0.7127,43866.2,1.2125536756245896,0.9342314603652561,1.5648539987577725,-2036.0,-2036.0,10000,99.5
a,G1,800,single_read_flip,read_flip,MEASURED (RX-06 as-committed),39,200,0.195,0.1461,0.2554,212304.9,5.8685540591710526,4.168847217550331,8.723003503252738,-2036.0,-2027.0,10000,96.6
a,G1,800,fullstack,all,MEASURED (all seven channels),20,200,0.1,0.0657,0.1494,437086.9,12.08199929418559,7.919985564010662,21.235302447021123,-2036.0,-2021.5,10000,178.8
a,G1,800,product_of_singles,all,DERIVED from the single rows (baseline n=1000),,0,,,,,6.977787445490197,3.8474710227646924,13.065139101036198,,,10000,0.0
a,G1,800,interaction_factor,all,DERIVED fullstack / product_of_singles; excludes 1 iff the composition is resolvably non-multiplicative,,0,,,,,1.628926283437249,0.8019717117799859,3.336077291643061,,,10000,0.0
a,G1,800,single_dac_idealgrid,dac,CONTROL ideal 6-bit grid at +/-10 V_T,127,200,0.635,0.5663,0.6986,45692.7,1.263040795465411,0.986189356024189,1.6279274960325403,-2036.0,-2036.0,10000,138.1
a,G1,800,stress_single_g_dev,g_dev,Section 3.4.2 scan point,125,200,0.625,0.5561,0.6891,46951.8,1.2978463600102967,1.0136857702663649,1.6864847015853017,-2036.0,-2036.0,10000,86.0
a,G1,800,stress_single_h_off,h_off,Section 3.4.2 scan point,120,200,0.6,0.5308,0.6654,50258.8,1.3892595783536952,1.0712168024612398,1.8104505710096692,-2036.0,-2036.0,10000,86.0
a,G1,800,stress_single_sigma_c2c,sigma_c2c,Section 3.4.2 scan point,134,200,0.67,0.6022,0.7314,41538.1,1.1481993238133854,0.8941421263394852,1.4765173216113554,-2036.0,-2036.0,10000,100.6
a,G1,800,fullstack_stress,all,"MEASURED (all seven channels, stressed)",0,1000,0.0,0.0,0.0038,inf,inf,nan,nan,-2020.0,-1953.0,10000,956.6
a,G1,800,product_of_singles_stress,all,DERIVED from the stress single rows (baseline n=1000),,0,,,,,13.042233075074655,6.005648563520488,28.727188254276683,,,10000,0.0
a,G1,800,interaction_factor_stress,all,DERIVED fullstack_stress / product_of_singles_stress,,0,,,,,400.3491419339108,32.05620171175213,181333.4282184692,,,10000,0.0
b,G1,800,fact00,------,MEASURED,2,200,0.01,0.0027,0.0357,4582105.8,126.65901860079612,46.25925681361055,288.90926316780383,-2036.0,-2004.0,10000,175.7
b,G1,800,fact01,+---+-,MEASURED,23,200,0.115,0.0779,0.1666,376955.0,10.419827530437727,6.953998088709023,17.6095719280937,-2036.0,-2017.5,10000,168.4
b,G1,800,fact02,-+--++,MEASURED,19,200,0.095,0.0617,0.1436,461345.9,12.752568624559045,8.302636576546936,22.8340054196426,-2036.0,-2020.0,10000,170.1
b,G1,800,fact03,++---+,MEASURED,24,200,0.12,0.082,0.1723,360247.9,9.95800752790482,6.6919585341139545,16.560021434545508,-2036.0,-2020.0,10000,176.5
b,G1,800,fact04,--+-++,MEASURED,16,200,0.08,0.0498,0.126,552300.5,15.266743974002459,9.644669099172313,29.088326436023046,-2036.0,-2022.0,10000,169.9
b,G1,800,fact05,+-+--+,MEASURED,19,200,0.095,0.0617,0.1436,461345.9,12.752568624559045,8.302636576546936,22.8340054196426,-2036.0,-2022.0,10000,175.6
b,G1,800,fact06,-++---,MEASURED,4,200,0.02,0.0078,0.0503,2279481.7,63.009657854568474,29.088326436023046,264.94052314099014,-2036.0,-2003.0,10000,165.0
b,G1,800,fact07,+++-+-,MEASURED,20,200,0.1,0.0657,0.1494,437086.9,12.08199929418559,7.919985564010662,21.235302447021123,-2036.0,-2022.5,10000,169.4
b,G1,800,fact08,---+-+,MEASURED,64,200,0.32,0.2593,0.3875,119409.3,3.3007246987903756,2.474906752377381,4.568257870659619,-2036.0,-2032.0,10000,161.8
b,G1,800,fact09,+--+++,MEASURED,104,200,0.52,0.451,0.5882,62743.4,1.7343584976491568,1.3326676537837703,2.2713326811129217,-2036.0,-2036.0,10000,154.9
b,G1,800,fact10,-+-++-,MEASURED,4,200,0.02,0.0078,0.0503,2279481.7,63.009657854568474,29.088326436023046,264.94052314099014,-2036.0,-2016.0,10000,156.2
b,G1,800,fact11,++-+--,MEASURED,103,200,0.515,0.4461,0.5833,63641.9,1.7591962935163201,1.3525053097105626,2.314950933775039,-2036.0,-2036.0,10000,162.0
b,G1,800,fact12,--+++-,MEASURED,15,200,0.075,0.046,0.12,590697.7,16.328123480055048,10.239078169471501,31.98446643833409,-2036.0,-2019.0,10000,155.6
b,G1,800,fact13,+-++--,MEASURED,102,200,0.51,0.4412,0.5784,64557.0,1.7844899080317094,1.3877067715140956,2.3281040288945256,-2036.0,-2036.0,10000,161.3
b,G1,800,fact14,-+++-+,MEASURED,75,200,0.375,0.3109,0.4439,97981.6,2.70841669426202,2.059025439359271,3.646963701203527,-2036.0,-2032.0,10000,157.7
b,G1,800,fact15,++++++,MEASURED,132,200,0.66,0.5919,0.7221,42687.5,1.1799724468485457,0.9176552160002591,1.5276158867421883,-2036.0,-2036.0,10000,149.3
c,G1,800,pdk_joint,d2d,"joint (V_th, slope) resampled from the 15-device ensemble",0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-1948.0,-1909.0,10000,81.2
c,G1,800,pdk_shuffled,d2d,"same marginals, pairing destroyed (correlation control)",0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-1935.0,-1894.5,10000,81.8
c,G1,800,pdk_gain_only,d2d,"empirical gain marginal, no threshold channel",138,200,0.69,0.6228,0.75,39320.7,1.0869058856877578,0.846738265650614,1.3932004267080864,-2036.0,-2036.0,10000,81.8
c,G1,800,pdk_offset_only,d2d,"empirical threshold channel, no gain dispersion",0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-1960.0,-1906.0,10000,81.6
c,G1,800,indep_gauss_matched,d2d,device_model independent Gaussian gain at matched CV=0.254,124,200,0.62,0.5511,0.6844,47594.5,1.3156125372708294,1.027672131812128,1.7099427393307645,-2036.0,-2036.0,10000,86.8
c,G1,800,pdk_calibrated,d2d,"per-row trim on the 6-bit grid (LSB 0.317 V_T, range +/-10 V_T)",114,200,0.57,0.5007,0.6367,54565.6,1.508306657567427,1.1774919139564008,1.9730945897668632,-2036.0,-2036.0,10000,82.4
c,G1,800,pdk_offset_ensemble_VT,d2d,threshold channel normalised by the ensemble's own V_T (optimistic bound),0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-1976.0,-1943.0,10000,81.4
c,G1,800,pdk_joint_dac,d2d,joint mismatch behind the 6-bit DAC at +/-10 V_T,0,200,0.0,0.0,0.0188,inf,inf,nan,nan,-1882.0,-1787.5,10000,138.7
c,G1,800,pdk_calibrated_dac,d2d,trimmed mismatch behind the 6-bit DAC at +/-10 V_T,69,200,0.345,0.2826,0.4132,108838.4,3.008521330598551,2.2611215237635967,4.106676982372614,-2036.0,-2033.0,10000,134.6
