scope,n,er_seed,axis,value,n_seeds,n_trials,hits,p_s,wilson_lo,wilson_hi,tts99_sweeps,tts_ratio_vs_ideal,ratio_lo,ratio_hi,ratio_geomean,ratio_min,ratio_max,target,source
per_seed,20,0,span,6.0,1,200,63,0.315,0.2546,0.3824,24344.3,1.779750721295845,1.293905121101888,2.481744250248417,,,,-15.953545212538145,this-run
per_seed,20,0,span,8.0,1,200,96,0.48,0.4118,0.549,14084.7,1.029694601495654,0.7698838843326531,1.3666299544242375,,,,-15.953545212538145,this-run
per_seed,20,0,k,1,1,200,98,0.49,0.4216,0.5588,13678.5,1.0,0.7515854994321892,1.337423616759636,,,,-15.953545212538145,this-run
per_seed,20,0,k,2,1,200,104,0.52,0.451,0.5882,12548.7,0.9174016786061753,0.693021760883775,1.2167940543528915,,,,-15.953545212538145,this-run
per_seed,20,0,k,3,1,200,109,0.545,0.4758,0.6125,11696.3,0.8550864591498246,0.6472661620664039,1.133697184256475,,,,-15.953545212538145,this-run
per_seed,20,0,k,4,1,200,110,0.55,0.4808,0.6174,11534.4,0.8432536798995721,0.6377139855540713,1.1189522511041339,,,,-15.953545212538145,this-run
per_seed,20,0,k,5,1,200,110,0.55,0.4808,0.6174,11534.4,0.8432536798995721,0.6377139855540713,1.1189522511041339,,,,-15.953545212538145,this-run
per_seed,20,0,bits,6,1,200,14,0.07,0.0422,0.1141,126915.4,9.278463894457216,5.631306652740896,18.899744459359596,,,,-15.953545212538145,dedup(span@4)
per_seed,20,1,baseline,0,1,200,90,0.45,0.3826,0.5192,15406.1,1.0,nan,nan,,,,-14.293926760034157,this-run
per_seed,20,1,bits,2,1,200,22,0.11,0.0738,0.1609,79035.8,5.130158952681584,3.352038947511547,8.87913012455075,,,,-14.293926760034157,this-run
per_seed,20,1,bits,3,1,200,39,0.195,0.1461,0.2554,42461.0,2.756114186084895,1.9236000125713109,4.143176153969096,,,,-14.293926760034157,this-run
per_seed,20,1,bits,4,1,200,29,0.145,0.1029,0.2005,58794.2,3.8162940344856544,2.5792640777439995,6.121398155456298,,,,-14.293926760034157,this-run
per_seed,20,1,bits,5,1,200,35,0.175,0.1286,0.2336,47877.8,3.107714918890082,2.137088029294654,4.748130141212448,,,,-14.293926760034157,this-run
per_seed,20,1,bits,8,1,200,37,0.185,0.1373,0.2446,45023.6,2.9224484710891137,2.0164392895922174,4.400024806642085,,,,-14.293926760034157,this-run
per_seed,20,1,span,2.0,1,200,1,0.005,0.0009,0.0278,1837459.1,119.26823192727004,31.32059913699441,142.31300465700002,,,,-14.293926760034157,this-run
per_seed,20,1,span,3.0,1,200,18,0.09,0.0577,0.1378,97659.6,6.339017003243225,4.032974970503824,11.655266207676501,,,,-14.293926760034157,this-run
per_seed,20,1,span,4.0,1,200,33,0.165,0.12,0.2227,51076.7,3.315357240132784,2.2542484329578216,5.1491514712230275,,,,-14.293926760034157,this-run
per_seed,20,1,span,6.0,1,200,56,0.28,0.2224,0.3459,28037.2,1.8198770148148922,1.2996699065688462,2.5877193827302998,,,,-14.293926760034157,this-run
per_seed,20,1,span,8.0,1,200,84,0.42,0.3537,0.4893,16908.2,1.097498027835469,0.8143373011358718,1.4747698473569484,,,,-14.293926760034157,this-run
per_seed,20,1,k,1,1,200,74,0.37,0.3061,0.4388,19934.3,1.2939201707107963,0.9516613665377067,1.7797567340319729,,,,-14.293926760034157,this-run
per_seed,20,1,k,2,1,200,85,0.425,0.3585,0.4943,16643.6,1.080326975682699,0.8021866935809143,1.463912143606441,,,,-14.293926760034157,this-run
per_seed,20,1,k,3,1,200,91,0.455,0.3875,0.5242,15174.3,0.9849539658925021,0.7329386560190702,1.3254959985818922,,,,-14.293926760034157,this-run
per_seed,20,1,k,4,1,200,92,0.46,0.3923,0.5292,14947.3,0.970221435546482,0.7203754200452882,1.3060170485929468,,,,-14.293926760034157,this-run
per_seed,20,1,k,5,1,200,94,0.47,0.402,0.5391,14507.3,0.9416561043454439,0.7051289953461912,1.2724666802201163,,,,-14.293926760034157,this-run
per_seed,20,1,bits,6,1,200,33,0.165,0.12,0.2227,51076.7,3.315357240132784,2.2542484329578216,5.1491514712230275,,,,-14.293926760034157,dedup(span@4)
per_seed,20,2,baseline,0,1,200,156,0.78,0.7176,0.8318,6082.9,1.0,nan,nan,,,,-20.08691183227218,this-run
per_seed,20,2,bits,2,1,200,77,0.385,0.3203,0.454,18946.1,3.1146367307337326,2.359439361779668,4.194929769782869,,,,-20.08691183227218,this-run
per_seed,20,2,bits,3,1,200,72,0.36,0.2967,0.4286,20637.7,3.392721240905868,2.5788840344230555,4.6042832451314775,,,,-20.08691183227218,this-run
per_seed,20,2,bits,4,1,200,63,0.315,0.2546,0.3824,24344.3,4.0020668634209295,3.000406856933402,5.517217372026018,,,,-20.08691183227218,this-run
per_seed,20,2,bits,5,1,200,69,0.345,0.2826,0.4132,21767.7,3.5784826467992525,2.6936074978643503,4.872991285391189,,,,-20.08691183227218,this-run
per_seed,20,2,bits,8,1,200,75,0.375,0.3109,0.4439,19596.3,3.221523491339112,2.4613156829665725,4.343369594656306,,,,-20.08691183227218,this-run
